File Path,Prompt,Class Name,Predicted Text,Prompt ID,Number of Shots
../data/test/title/LCE-1913-01-08-a-i0015.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, letter E, capital, capital E, capital E, capital E, capital E",3,0
../data/test/title/LCE-1911-12-06-a-i0016.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, letter E, capital letter E, capital letter E,",3,0
../data/test/title/LCE-1948-06-09-a-i0015.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, letter E, capital letter E, capital letter E,",3,0
../data/test/title/LCE-1943-01-27-a-i0017.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, typeface, black, white, black and white, black and white letter,",3,0
../data/test/title/LCE-1907-08-14-a-i0009.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are N, letter, capital, letter N, capital N, letter N, capital N, letter N",3,0
../data/test/title/LCE-1952-02-27-a-i0002.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are L, letter, lowercase, lowercase letter, capital, capital letter, capital letter L,",3,0
../data/test/title/LCE-1906-02-03-a-i0003.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are black, black and white, letter, letter l, black and white, black, black and white",3,0
../data/test/title/LCE-1912-11-23-a-i0020.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, type, typewriter, typewriter, typewriter, typewriter, typewriter",3,0
../data/test/title/LCE-1913-02-15-a-i0009.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, letter f, letter f, f, f, f, f, f,",3,0
../data/test/title/LCE-1913-03-01-a-i0008.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, lettering, type, typeface, typeface, typeface, typeface",3,0
../data/test/title/LCE-1910-04-27-a-i0002.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are: black, letter c, black and white, black and white letter c, black and white letter",3,0
../data/test/title/LCE-1942-01-02-a-i0012.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are letter D, capital letter D, capital letter D, capital letter D, capital letter D, capital",3,0
../data/test/title/LCE-1908-10-07-a-i0011.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are black, letter, black and white, letter E, black and white, black and white, black",3,0
../data/test/title/LCE-1904-07-02-a-i0002.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are black, letter, black and white, black and white letter, black and white letter L, black",3,0
../data/test/title/LCE-1923-03-09-a-i0051.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, letter r, capital letter, capital letter r, capital letter r, capital letter",3,0
../data/test/title/LCE-1907-01-01-a-i0016.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, typeface, capital, capital letter, capital letter E, capital letter E,",3,0
../data/test/title/LCE-1912-10-19-a-i0010.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, letter f, capital letter f, capital letter f,",3,0
../data/test/title/LCE-1904-06-15-a-i0019.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are R, letter, black, black and white, monogram, monogrammed, monogrammed",3,0
../data/test/title/LCE-1933-05-03-a-i0012.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, letter f, capital letter f, letter f, capital",3,0
../data/test/title/LCE-1948-09-17-a-i0020.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, lettering, type, typeface, typeface, font, typeface,",3,0
../data/test/title/LCE-1911-10-18-a-i0084.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, and r<|endofchunk|>",3,0
../data/test/title/LCE-1908-03-07-a-i0008.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, letter f, capital letter f, capital letter f,",3,0
../data/test/title/LCE-1933-10-09-a-i0017.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, capital letter, capital letter E, capital letter E, capital letter E",3,0
../data/test/title/LCE-1949-12-19-a-i0016.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are letter, capital, capital letter, capital letter D, capital letter D, capital letter D, capital",3,0
../data/test/title/LCE-1909-05-01-a-i0001.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, number, letter, number, letter, number, letter, number, letter, number,",3,0
../data/test/title/LCE-1944-03-31-a-i0017.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, typeface, letter, capital, capital letter, capital letter E, capital letter E,",3,0
../data/test/title/LCE-1908-08-05-a-i0017.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, type, typeface, capital, capital letter, capital letter E, letter E",3,0
../data/test/title/LCE-1935-06-10-a-i0011.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, capital, letter E, capital E, capital E, capital E, capital E",3,0
../data/test/title/LCE-1906-03-14-a-i0020.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are black, black and white, black and white letter, black and white letter C, black and white",3,0
../data/test/title/LCE-1943-01-27-a-i0008.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, letter, number, uppercase, lowercase, black, white, black and white,",3,0
../data/test/title/LCE-1900-08-29-a-i0011.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are black, letter, black and white, black and white letter, letter b, black and white letter",3,0
../data/test/title/LCE-1915-04-07-a-i0012.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are: black, black and white, black and white letter, capital letter, capital letter c, capital",3,0
../data/test/title/LCE-1908-01-22-a-i0011_2.jpg,<image>Keywords describing this image are,title,"Keywords describing this image are font, type, letter, typeface, capital, capital letter, capital letter E, capital letter",3,0
