              precision    recall  f1-score   support

       title       1.00      0.15      0.26        40
         map       0.67      0.02      0.04        89
        logo       0.00      0.00      0.00        45
        game       0.97      0.92      0.94        36
       photo       0.19      0.73      0.31        45
       graph       0.91      0.62      0.74        16
     drawing       1.00      0.00      0.01       374
       comic       0.01      0.09      0.03        80
      unclas       0.00      0.00      0.00         0

    accuracy                           0.13       725
   macro avg       0.53      0.28      0.26       725
weighted avg       0.73      0.13      0.11       725
