              precision    recall  f1-score   support

       title       0.56      0.72      0.63        40
         map       0.00      0.00      0.00        89
        logo       1.00      0.64      0.78        45
        game       0.89      0.47      0.62        36
       photo       0.53      0.42      0.47        45
       graph       0.91      0.62      0.74        16
     drawing       0.94      0.05      0.09       374
       comic       0.27      0.80      0.41        80
      unclas       0.00      0.00      0.00         0

    accuracy                           0.26       725
   macro avg       0.57      0.41      0.41       725
weighted avg       0.71      0.26      0.25       725
