              precision    recall  f1-score   support

       title       0.50      0.05      0.09        40
         map       0.00      0.00      0.00        89
        logo       0.00      0.00      0.00        45
        game       1.00      0.81      0.89        36
       photo       0.22      0.80      0.35        45
       graph       1.00      0.06      0.12        16
     drawing       1.00      0.01      0.02       374
       comic       0.00      0.00      0.00        80
      unclas       0.00      0.00      0.00         0

    accuracy                           0.10       725
   macro avg       0.41      0.19      0.16       725
weighted avg       0.63      0.10      0.08       725
