              precision    recall  f1-score   support

       title       1.00      0.17      0.30        40
         map       0.52      0.44      0.48        89
        logo       0.64      0.82      0.72        45
        game       0.88      1.00      0.94        36
       photo       0.43      0.78      0.56        45
       graph       0.88      0.94      0.91        16
     drawing       1.00      0.08      0.15       374
       comic       0.99      0.97      0.98        80
      unclas       0.00      0.00      0.00         0

    accuracy                           0.38       725
   macro avg       0.70      0.58      0.56       725
weighted avg       0.87      0.38      0.41       725
